year,month,day,hour,air_temp,dew_point,wind_speed
2009,1,9,10,-10.0,-14.4,0.0
2009,1,9,11,-10.0,-13.0,0.0
2009,1,9,12,-10.0,-11.7,0.0
2009,1,9,13,-10.0,-11.1,15.0
2009,1,9,14,-8.9,-10.6,15.0
2009,1,9,15,-8.3,-9.4,0.0
2009,1,9,16,-8.3,-9.4,0.0
2009,1,9,17,-6.7,-8.3,26.0
2009,1,9,18,-3.9,-5.6,46.0
2009,1,9,19,-3.0,-4.0,31.0
2009,1,9,20,-2.8,-3.9,46.0
2009,1,9,21,-1.7,-3.3,36.0
2009,1,9,22,-1.7,-3.9,57.0
2009,1,9,23,-1.7,-3.9,46.0
2009,1,10,0,-1.7,-3.9,57.0
2009,1,10,1,-1.7,-3.9,62.0
2009,1,10,2,-1.7,-4.4,67.0
2009,1,10,3,-1.7,-4.4,62.0
2009,1,10,4,-2.2,-3.9,67.0
2009,1,10,5,-2.2,-3.3,67.0
2009,1,10,6,,,
2009,1,10,7,-2.8,-3.9,51.0
2009,1,10,8,-2.8,-4.4,62.0
2009,1,10,9,-3.3,-4.4,88.0
2009,1,10,10,-3.0,-5.0,82.0
2009,1,10,11,-3.0,-5.0,82.0
2009,1,10,12,-3.3,-5.0,67.0
2009,1,10,13,-3.9,-5.6,67.0
2009,1,10,14,-3.9,-5.6,72.0
2009,1,10,15,-3.9,-5.6,62.0
2009,1,10,16,-3.9,-5.6,57.0
2009,1,10,17,-3.9,-6.1,51.0
2009,1,10,18,-4.4,-6.7,62.0
2009,1,10,19,-4.0,-7.0,36.0
2009,1,10,20,-4.4,-6.7,46.0
2009,1,10,21,-3.9,-7.2,36.0
2009,1,10,22,-5.0,-8.3,62.0
2009,1,10,23,-5.6,-8.3,41.0
2009,1,11,0,-6.1,-8.9,46.0
2009,1,11,1,-6.1,-8.9,41.0
2009,1,11,2,-7.2,-10.0,41.0
2009,1,11,3,-7.8,-11.1,41.0
2009,1,11,4,-7.8,-11.1,36.0
2009,1,11,5,-7.8,-11.1,31.0
2009,1,11,6,,,
2009,1,11,7,-9.4,-11.7,15.0
2009,1,11,8,-8.9,-11.7,31.0
2009,1,11,9,-9.4,-12.2,26.0
2009,1,11,10,-10.6,-12.8,0.0
